"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\buttons.js", "JavaScript", 100, 2, 40, 142
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\fullscreen.js", "JavaScript", 34, 2, 9, 45
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\game.js", "JavaScript", 57, 1, 15, 73
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\level\level1.js", "JavaScript", 83, 3, 27, 113
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\background-object.class.js", "JavaScript", 11, 0, 8, 19
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\bottle.class.js", "JavaScript", 34, 0, 24, 58
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\character.class.js", "JavaScript", 257, 9, 113, 379
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\chick.class.js", "JavaScript", 87, 1, 30, 118
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\chicken.class.js", "JavaScript", 76, 1, 45, 122
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\cloud.class.js", "JavaScript", 22, 0, 13, 35
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\coin.class.js", "JavaScript", 72, 0, 37, 109
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\collectable-object.class.js", "JavaScript", 2, 0, 1, 3
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\drawable-object.class.js", "JavaScript", 53, 0, 31, 84
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\endboss.class.js", "JavaScript", 131, 5, 51, 187
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\gameOver-object.class.js", "JavaScript", 10, 0, 4, 14
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\keyboard.class.js", "JavaScript", 7, 0, 0, 7
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\level.class.js", "JavaScript", 14, 0, 4, 18
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\menuScreen-object.class.js", "JavaScript", 10, 0, 2, 12
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\movable-object.class.js", "JavaScript", 72, 2, 58, 132
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\musicHandler-object.class.js", "JavaScript", 129, 1, 38, 168
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\startScreen-object.class.js", "JavaScript", 10, 0, 3, 13
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\status-bar-bottle.class.js", "JavaScript", 17, 0, 8, 25
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\status-bar-coin.class.js", "JavaScript", 17, 0, 9, 26
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\status-bar-endboss.class.js", "JavaScript", 18, 0, 7, 25
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\status-bar-health.class.js", "JavaScript", 17, 0, 14, 31
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\status-bar.class.js", "JavaScript", 20, 0, 23, 43
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\throwable-object.class.js", "JavaScript", 101, 2, 43, 146
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\won-object.class.js", "JavaScript", 10, 0, 4, 14
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\models\world.class.js", "JavaScript", 354, 10, 236, 600
"c:\Users\bjoer\Desktop\Developer Akademie\el-Pollo-loco2\js\support.js", "JavaScript", 13, 0, 15, 28
"Total", "-", 1838, 39, 912, 2789
